restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category,MAIN MUNICIPALITY
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Veggie Deluxe McMenu®,Veggie,ANTWERPEN
295468,9300,McDonald's Aalst,Grote Markt 19,Red Devils Veggie,Veggie,AALST
295468,9300,McDonald's Aalst,Grote Markt 19,McVeggie,Veggie,AALST
295468,9300,McDonald's Aalst,Grote Markt 19,Veggie Deluxe,Veggie,AALST
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Thai Jay,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Pak Ruam Mit,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Prik King Jay,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Med Mamuang Jay,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Kra Praow Jay,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Kaeng Phed Jay,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Kaeng Kiew Wan Jay,Vegetarisch,ANTWERPEN
36224,2018,Yu-Thai,Lamorinierestraat 111,Kaeng Pa Jay,Vegetarisch,ANTWERPEN
378493,9000,Magnum and Ben & Jerry's Store ,4 Lange Violettestraat,Ben & Jerry's Non-Dairy Cookies on Cookie Dough,Ben & Jerry’s Vegan,GENT
227817,9000,Mu-Ji Sushi,Oudberg 54,Mango Futo Maki,Futo Maki Vegetarisch (6/12 Stukjes),GENT
227817,9000,Mu-Ji Sushi,Oudberg 54,Sweet Potato Futo Maki,Futo Maki Vegetarisch (6/12 Stukjes),GENT
227817,9000,Mu-Ji Sushi,Oudberg 54,Avocado Futo Maki,Futo Maki Vegetarisch (6/12 Stukjes),GENT
423081,1140,Carrefour Market Paduwa,797 Chaussée de Louvain,Garden Gourmet Delux Burger Mini 180 g,Vegan & végétarien,EVERE
423081,1140,Carrefour Market Paduwa,797 Chaussée de Louvain,"Carrefour Veggie Boulettes au Soja Tomate, Basilic x 12 Environ 200 g",Vegan & végétarien,EVERE
423081,1140,Carrefour Market Paduwa,797 Chaussée de Louvain,GARDEN GOURMET Burger aux Légumes Végétarien x2 170 g,Vegan & végétarien,EVERE
209243,3000,Taste of fresh,Tiensestraat 131,king oyster mushroom met zout en peper,vegegerechten,LEUVEN
209243,3000,Taste of fresh,Tiensestraat 131,Gearomatiseerde aubergine,vegegerechten,LEUVEN
