id,name,latitude,longitude,address,postal_code,NAME,MAIN MUNICIPALITY,MUNICIPALITY
15037,Balls & Glory ,51.21546765,4.409273574,Theaterplein 1,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15122,Il Capriani Eilandje,51.22999660000001,4.4042045,Bataviastraat 19,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15124,De Bomma,51.2219489,4.3979459,Willem Ogierplaats 3,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15125,Le Max,50.8503486,4.3948367,avenue Emile Max 87,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
15126,Otomat MAS,51.2274536,4.4055286,Van Schoonbekeplein 11,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15128,River Kwai,51.2113611,4.3928767,Vlaamsekaai 14,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15310,🎸 Beastie Burgers ,51.21458149999999,4.3983927,Nationalestraat 100,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15312,Ristorante Pizzeria Nicoletta,51.21497309999999,4.3974294,Steenbergstraat 11,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15370,Little BÚN - Theater,51.2126329,4.4060783,Sint-Jorispoort 22,2000,Antwerpen,ANTWERPEN,ANTWERPEN
15415,Aroy Thai,51.2314796,4.4098859,Londenstraat 1,2000,Antwerpen,ANTWERPEN,ANTWERPEN
17088,Mikuriya,50.8411191,4.4344808,12 rue Voot,1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
17629,La Nuova Piazza,50.8556683,4.3979108,Place Meiser 15,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
17719,O Beyrouth,50.8530978,4.391312399999999,Avenue du Diamant 7 1030 Schaerbeek,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
17938,Le Zinneke,50.85682370000001,4.391409900000001,"Place de la Patrie 26, 1030 Bruxelles",1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
18083,Farci,50.7946171,4.364707,Place Saint Job 666,1180,Ukkel,UKKEL,UKKEL
18271,Indus Pride,50.8561156,4.436209,59 Avenue Marcel Thiry 1200 Bruxelles,1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
18386,Mint,51.21681969999999,4.4001485,Theodoor van Rijswijckplaats 2,2000,Antwerpen,ANTWERPEN,ANTWERPEN
18715,Le Guignol,50.8407826,4.4353494,Rue Voot 32,1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
19023,Verde Foodbar,51.22126979999999,4.4145069,Korte Winkelstraat 12,2000,Antwerpen,ANTWERPEN,ANTWERPEN
19024,Bistro Theo,51.2178508,4.4003819,Nationalestraat 33,2000,Antwerpen,ANTWERPEN,ANTWERPEN
19433,Tranches De Cake,50.8037494,4.334777,"Rue Beeckman 102, 1180 Uccle",1180,Ukkel,UKKEL,UKKEL
19446,De Broers van Julienne,51.2103499,4.401815,Kasteelpleinstraat 45,2000,Antwerpen,ANTWERPEN,ANTWERPEN
19977,Phenicien House,50.8312129,4.4526771,Avenue Jules du Jardin 7,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
20063,Bijou Bar,51.211284,4.3939923,Graaf van Egmontstraat 20,2000,Antwerpen,ANTWERPEN,ANTWERPEN
20076,Bier Central,51.2176505,4.4177987,De Keyserlei 25,2000,Antwerpen,ANTWERPEN,ANTWERPEN
20164,Chez Marie,51.2100489,4.4069786,Britselei 15,2000,Antwerpen,ANTWERPEN,ANTWERPEN
20528,Greenway,51.2192767,4.4010774,Groenplaats 6,2000,Antwerpen,ANTWERPEN,ANTWERPEN
20897,Brasserie HOBS,51.2192928,4.401114499999999,Groenplaats 9-10,2000,Antwerpen,ANTWERPEN,ANTWERPEN
20900,Da Toni,50.84603389999999,4.4671819,1 rue des Tulipes,1950,Kraainem,KRAAINEM,KRAAINEM
21605,Nora Indian Restaurant,51.20900741098485,4.432039260864258,Wolfstraat 35,2000,Antwerpen,ANTWERPEN,ANTWERPEN
21868,Simply Marie,51.2212066,4.4043892,Hendrik Conscienceplein 11,2000,Antwerpen,ANTWERPEN,ANTWERPEN
21981,Jilles Beer & Burgers - Zuid,51.038884374049054,3.7317037582397456,Tentoonstellingslaan 165,9000,Gent,GENT,GENT
21985,Greenway Ghent,51.04767469999999,3.7216626,Nederkouter 42,9000,Gent,GENT,GENT
21987,Paul's Boutique Station 🍔,51.0362775,3.7130881,Koningin Astridlaan 209,9000,Gent,GENT,GENT
21997,Pastelleria De Puurte,51.0590449,3.701146999999999,Reinaertstraat 101,9000,Gent,GENT,GENT
22001,Tasty World Hoogpoort,51.055791,3.7225961,Hoogpoort 1,9000,Gent,GENT,GENT
22004,Tasty World Walpoort,51.0487386,3.7270706,Walpoortstraat 38,9000,Gent,GENT,GENT
22005,Le Botaniste,51.0521757,3.7211123,Hoornstraat 13,9000,Gent,GENT,GENT
22091,Lucy Chang Gent,51.0521389,3.7201179,Jakobijnenstraat 1,9000,Gent,GENT,GENT
22105,Balls & Glory Ghent,51.0523118,3.7201847,Jakobijnenstraat 6,9000,Gent,GENT,GENT
22124,Knol & kool,51.05317909999999,3.723688399999999,Heilige Geeststraat 30,9000,Gent,GENT,GENT
22231,Zest Fresh Juice Bar,51.04851069999999,3.730257999999999,Woodrow Wilsonplein 4,9000,Gent,GENT,GENT
22330,Zest Fresh Juice Bar,51.2180487,4.411330599999999,Meir 78,2000,Antwerpen,ANTWERPEN,ANTWERPEN
22401,Souplounge,51.05770949999999,3.7240336,Zuivelbrugstraat 4,9000,Gent,GENT,GENT
22424,Bavet Muinkkaai,51.041602,3.7295386,muinkkaai 120,9000,Gent,GENT,GENT
22597,Backyard,51.2210941,4.4011746,Grote Markt 52,2000,Antwerpen,ANTWERPEN,ANTWERPEN
22651,Munch Me,51.2180487,4.411330599999999,Meir 78,2000,Antwerpen,ANTWERPEN,ANTWERPEN
23237,L'Epicerie du Cirque,51.21139849999999,4.396703899999999,Volkstraat 13,2000,Antwerpen,ANTWERPEN,ANTWERPEN
23239,La  Focacceria,51.2087356,4.4085864,Mechelsesteenweg 76,2000,Antwerpen,ANTWERPEN,ANTWERPEN
23243,Poule & Poulette,51.21875370000001,4.3967724,Sint-Jansvliet 21,2000,Antwerpen,ANTWERPEN,ANTWERPEN
23311,Loa Streetfood,51.21839629999999,4.3971579,Hoogstraat 77,2000,Antwerpen,ANTWERPEN,ANTWERPEN
23723,Tenshi,50.8391628,4.4647084,Avenur Orban 235,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
24025,Basic Italian,51.0493577,3.7267321,Walpoortstraat 2,9000,Gent,GENT,GENT
24449,Pasta Commedia,50.7945983,4.3646202,Avenue Jean et Pierre Carsoel 1,1180,Ukkel,UKKEL,UKKEL
24968,Bavet Verloren Kost,51.0463299,3.7218842,Verloren Kost 1,9000,Gent,GENT,GENT
25019,Oriental Annapurna,51.21467089999999,4.4174526,Lange Herentalsestraat 56,2000,Antwerpen,ANTWERPEN,ANTWERPEN
25568,Churned - Café de Paris Knokke,51.35255009999999,3.2896475,"Van Bunnenplein 29, Knokke,",8300,Knokke,KNOKKE-HEIST,KNOKKE-HEIST
25568,Churned - Café de Paris Knokke,51.35255009999999,3.2896475,"Van Bunnenplein 29, Knokke,",8300,Westkapelle,KNOKKE-HEIST,KNOKKE-HEIST
26179,Pixel,51.2089201,4.3879008,Waalsekaai 47,2000,Antwerpen,ANTWERPEN,ANTWERPEN
26686,De Arme Duivel,51.2164466,4.4079463,Armeduivelstraat 1,2000,Antwerpen,ANTWERPEN,ANTWERPEN
27019,Bar Oscar,51.2195814,4.4234368,Dambruggestraat 29,2060,Antwerpen,ANTWERPEN,ANTWERPEN
27132,Villa Thai,50.719912,4.5139478,"Av. Franklin Roosevelt 104, Rixensart 1330",1330,Rixensart,RIXENSART,RIXENSART
27133,Orso Pizzeria,51.2356185,4.4236807,IJZERLAAN 7,2060,Antwerpen,ANTWERPEN,ANTWERPEN
27748,Moochie,51.054227,3.7227288,Klein turkije 14,9000,Gent,GENT,GENT
27786,JACK Premium Burgers - Centrum,51.0556078,3.7290109,Oude schaapsmarkt 1,9000,Gent,GENT,GENT
27847,Per Bacco,51.0542667,3.730344799999999,Sint-jacobsnieuwstraat 56,9000,Gent,GENT,GENT
27986,Del Popolo Pizza ,51.217381532575274,4.4196367263793945,De Keyserlei 51,2000,Antwerpen,ANTWERPEN,ANTWERPEN
28225,Fruxino,51.20997980000001,4.391486,Museumstraat 4,2000,Antwerpen,ANTWERPEN,ANTWERPEN
28226,Bar Jan Cremer,51.0412008,3.726311,Kramersplein 5,9000,Gent,GENT,GENT
28227,Caviste Lelièvre,51.196654,4.3974581,Desguinlei 232,2018,Antwerpen,ANTWERPEN,ANTWERPEN
28405,Senza,50.8401538,4.467080999999999,Potaardestraat 3,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
28439,Crème Marieke,51.2221327,4.4022632,Lange Koepoortstraat 56,2000,Antwerpen,ANTWERPEN,ANTWERPEN
28609,Sham,50.8551993,4.3997172,Chaussée de Louvain 608,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
28801,Destiny Asian Food,51.0525108,3.7232475,Bennesteeg 23,9000,Gent,GENT,GENT
28841,Zurich,51.2106407,4.3918705,Verlatstraat 2-4,2000,Antwerpen,ANTWERPEN,ANTWERPEN
28842,Shilling,51.2096993,4.3940353,Verlatstraat 40,2000,Antwerpen,ANTWERPEN,ANTWERPEN
28843,Anverres,51.20942413682923,4.421932697296143,Brialmontlei 60,2018,Antwerpen,ANTWERPEN,ANTWERPEN
28913,Les Deux Petits Diables,50.8142529,4.4341362,Rue des 2 chaussées 80,1160,Oudergem,OUDERGEM,OUDERGEM
29034,Sette Piatti,51.1989048,4.4076303,Lange Lozanastraat 231,2018,Antwerpen,ANTWERPEN,ANTWERPEN
29048,Restaurant Marcel,51.22739379999999,4.4052337,Van Schoonbekeplein 13,2000,Antwerpen,ANTWERPEN,ANTWERPEN
29100,Moochie,51.2200965,4.402870399999999,Melkmarkt 27,2000,Antwerpen,ANTWERPEN,ANTWERPEN
29398,Paradise of India,50.8687007,4.3999038,Rue Godefroid Kurth 85,1140,Evere,EVERE,EVERE
29500,Kim's Kitchen,51.058466,3.72404,Oudbrug 23,9000,Gent,GENT,GENT
29992,Bella Vista,51.05342650000001,3.7246857,Sint baafsplein 2,9000,Gent,GENT,GENT
30021,Pain Perdu-STAMcafé,51.04399919999999,3.7154259,Godshuizenlaan 2,9000,Gent,GENT,GENT
30080,Thai Café,50.8386666,4.4646272,Rue Félix de Keuster 12,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
