restaurant_name,restaurant_id,city,categories,veg_category_count
arrivero-uccle,5O730RN,Linkebeek,"Pizza vegetariana,Pasta vegetariana",2
le-concerto-forest-national,5P573NN,Linkebeek,No Vegetarian Categories,1
epicuro,O3QRPRN1,Linkebeek,No Vegetarian Categories,1
late-night,ONPO01QN,Drogenbos,No Vegetarian Categories,1
snack-dancot,Q501RPQN,Linkebeek,No Vegetarian Categories,1
mixte-kitchen,R5ON51QN,Linkebeek,No Vegetarian Categories,1
otacos-cora-anderlecht,0Q73775N,Drogenbos,No Vegetarian Categories,1
snack-neerstalle,0R735711,Drogenbos,No Vegetarian Categories,1
friterie-stalle,O3177O01,Linkebeek,No Vegetarian Categories,1
bagel-jackson-uccle,00QO0N31,Sint-Genesius-Rode,No Vegetarian Categories,1
rosso-pizzeria-pasteria,0O307R5N,Sint-Genesius-Rode,No Vegetarian Categories,1
ciao-pizza-waterloo-1,3030577N,Sint-Genesius-Rode,No Vegetarian Categories,1
mezon,3030PR7N,Sint-Genesius-Rode,No Vegetarian Categories,1
la-focaccia-braine-lalleud,337N7Q7N,Alsemberg,No Vegetarian Categories,1
spoons,353N057N,Sint-Genesius-Rode,No Vegetarian Categories,1
al-mandaloun,37PQN77N,Alsemberg,No Vegetarian Categories,1
betobe-lebanese-street-food,3NR0R77N,Sint-Genesius-Rode,No Vegetarian Categories,1
no-concept-restaurant,3PPPPR7N,Sint-Genesius-Rode,No Vegetarian Categories,1
dominos-pizza-alsemberg,3Q3Q057N,Alsemberg,"Pizzas vegan,Vegan Pizza's",2
pizza-hut-delivery-waterloo,3R00R,Sint-Genesius-Rode,No Vegetarian Categories,1
unkai-sushi,3R700Q7N,Sint-Genesius-Rode,No Vegetarian Categories,1
les-delices-de-lorient,51357ON,Alsemberg,No Vegetarian Categories,1
