restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category
303788,9000,Dunkin,33 Langemunt,Vegan Strawberry Swirl,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Strawberry Swirl,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Strawberry Swirl,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Strawberry Swirl,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Strawberry Swirl,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Chocolate Chip,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Chocolate Chip,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Chocolate Chip,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Chocolate Chip,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Chocolate Chip,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Chocolate Chip,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Boston Pinguin,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Boston Pinguin,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Boston Pinguin,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Boston Pinguin,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Boston Pinguin,Vegan Donuts
303788,9000,Dunkin,33 Langemunt,Vegan Boston Pinguin,Vegan Donuts
286526,3000,CASPER Leuven,Oude Markt 2,Vegan Burger,Hacked by De Vegetarische Slager 🌿
286526,3000,CASPER Leuven,Oude Markt 2,Nuggettekes (vegan),Hacked by De Vegetarische Slager 🌿
286526,3000,CASPER Leuven,Oude Markt 2,NoMeatballs in tomato sauce,Hacked by De Vegetarische Slager 🌿
286526,3000,CASPER Leuven,Oude Markt 2,Vol-au-Vegan,Hacked by De Vegetarische Slager 🌿
286526,3000,CASPER Leuven,Oude Markt 2,Albondigas with Rice,Hacked by De Vegetarische Slager 🌿
286526,3000,CASPER Leuven,Oude Markt 2,Vegan Beef Stew,Hacked by De Vegetarische Slager 🌿
36996,2000,JusJus,Verschansingstraat 46,Pure Celery Juice 500ml,Cold Pressed Vegetable Juices
36996,2000,JusJus,Verschansingstraat 46,Greenday,Cold Pressed Vegetable Juices
36996,2000,JusJus,Verschansingstraat 46,Dr. Veggie,Cold Pressed Vegetable Juices
36996,2000,JusJus,Verschansingstraat 46,Heartbeet,Cold Pressed Vegetable Juices
36996,2000,JusJus,Verschansingstraat 46,The Hulk,Cold Pressed Vegetable Juices
36996,2000,JusJus,Verschansingstraat 46,Oh My Greens,Cold Pressed Vegetable Juices
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Vol-au-veggie 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
314261,1950,Lunch Garden,Wezembeeklaan 114,Samosa's met sweet chilisaus 🌿,💚 Veggie
456980,9000,Carrefour Express Zwijnaarde,68 Zwijnaardsesteenweg,Garden Gourmet Burger Deluxe Mini 180 g,Vegan & vegetarisch
456980,9000,Carrefour Express Zwijnaarde,68 Zwijnaardsesteenweg,Garden Gourmet Groenteballetjes 200 g,Vegan & vegetarisch
456980,9000,Carrefour Express Zwijnaarde,68 Zwijnaardsesteenweg,"Carrefour Veggie Sojaballetjes Tomaat, Basilicum  x 12 Ongeveer 200 g",Vegan & vegetarisch
456980,9000,Carrefour Express Zwijnaarde,68 Zwijnaardsesteenweg,Vivera Vegan Groenteschijf 200 g,Vegan & vegetarisch
